movieId,title,genres,Director,Rotten Tomatoes,imdbRatings,imdbVotes
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,10,8.3,1064199
2,Jumanji (1995),Adventure|Children|Fantasy,Joe Johnston,5.59,7.1,374898
3,Grumpier Old Men (1995),Comedy|Romance,Howard Deutch,2.89,6.6,29548
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Forest Whitaker,6.04,6,12108
5,Father of the Bride Part II (1995),Comedy,Charles Shyer,5.68,6.1,41501
6,Heat (1995),Action|Crime|Thriller,Michael Mann,8.47,8.3,715349
7,Sabrina (1995),Comedy|Romance,Billy Wilder,9.01,7.6,70033
8,Tom and Huck (1995),Adventure|Children,Peter Hewitt,3.25,5.5,11530
9,Sudden Death (1995),Action,Peter Hyams,5.5,5.8,36936
10,GoldenEye (1995),Action|Adventure|Thriller,Martin Campbell,8.2,7.2,269541
11,"American President, The (1995)",Comedy|Drama|Romance,Rob Reiner,7.12,6.8,60542
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks,1.99,5.8,45108
13,Balto (1995),Adventure|Animation|Children,Simon Wells,6.04,7.1,47936
14,Nixon (1995),Drama,Oliver Stone,7.75,7.1,32645
15,Cutthroat Island (1995),Action|Adventure|Romance,Renny Harlin,4.6,5.7,30380
16,Casino (1995),Crime|Drama,Martin Scorsese,8.02,8.2,560760
17,Sense and Sensibility (1995),Drama|Romance,Ang Lee,9.73,7.7,125043
18,Four Rooms (1995),Comedy,"Allison Anders, Alexandre Rockwell, Robert Rodriguez",2.17,6.7,110817
19,Ace Ventura: When Nature Calls (1995),Comedy,Steve Oedekerk,2.89,6.4,232519
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,2.98,5.7,43103
21,Get Shorty (1995),Comedy|Crime|Thriller,Barry Sonnenfeld,9.01,6.9,88558
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,7.75,6.6,64997
23,Assassins (1995),Action|Crime|Thriller,Richard Donner,2.44,6.3,87866
24,Powder (1995),Drama|Sci-Fi,Victor Salva,5.5,6.6,32493
25,Leaving Las Vegas (1995),Drama|Romance,Mike Figgis,9.19,7.5,134242
26,Othello (1995),Drama,Oliver Parker,7.12,6.8,10150
27,Now and Then (1995),Children|Drama,Lesli Linka Glatter,3.97,6.8,32305
28,Persuasion (1995),Drama|Romance,Carrie Cracknell,3.79,5.8,35207
